CtNumero;NU_ProcessoLicitacao;CtVigenciaInicio;CtVigenciaTermino2;Tempo;OrNome;Credor;ObNome;CtValorTotal;Textbox7;CtValorTotal1
0008/2023;11.000.000328.2023;29/12/2023;28/12/2028;60;CGE - 11.0001 ;34.028.316/0001-03 - EMPRESA BRASILEIRA DE CORREIOS E TELÉGRAFOS;SERVIÇOS;1.500,00;7.452 CONTRATOS;14.786.237.936,49
0025/2023;31.000.001449.2023;29/12/2023;29/12/2024;12;SEIRH - 31.0001;24.731.906/0001-44 - EMPRESA PROMOSEG SERVIÇOS TERCEIRIZADOS LTDA;SERVIÇO DE LIMPEZA E CONSERVAÇÃO;100.918,80;7.452 CONTRATOS;14.786.237.936,49
0038/2023;;28/12/2023;27/12/2024;12;SEFAZ - 20.0001;25.359.140/0001-81 - ARVVO TECNOLOGIA,  CONSULTORIA E SERVIÇOS LTDA;SERVIÇO ESPECIALIZADO NA ÁREA DE INFORMÁTICA;1.263.325,00;7.452 CONTRATOS;14.786.237.936,49
0046/2023;21.201.000191.2023;29/12/2023;23/12/2024;12;CINEP - 21.0101;18.387.904/0001-87 - COMERCIAL TOP MIX LTDA;EQUIPAMENTOS E SOFTWARES DE INFORMÁTICA;39.950,00;7.452 CONTRATOS;14.786.237.936,49
0047/2023;21.201.000191.2023;29/12/2023;23/12/2024;12;CINEP - 21.0101;35.084.256/0001-09 - AF PEREIRA COMERCIO VAREJISTA DE EQUIPAMENTOS DE COMUNICAÇÃO E INFORMÁTICA;EQUIPAMENTOS E SOFTWARES DE INFORMÁTICA;16.269,40;7.452 CONTRATOS;14.786.237.936,49
0052/2023;32.901.900044.2023;28/12/2023;28/06/2024;6;SEDAP - 32.0001;50.405.778/0001-59 - DI SOLO SEMENTES MELHORADAS LTDA;SEMENTES, MUDAS E PLANTAS;2.135.200,00;7.452 CONTRATOS;14.786.237.936,49
0053/2023;32.901.900044.2023;28/12/2023;28/06/2024;6;SEDAP - 32.0001;06.049.929/0001-91 - ATACADÃO DO CRIADOR COMÉRCIO E INDÚSTRIA AGROPECUÁRIA E TRANSPORTES LTDA;SEMENTES, MUDAS E PLANTAS;145.500,00;7.452 CONTRATOS;14.786.237.936,49
0054/2023;32.901.900044.2023;28/12/2023;28/06/2024;6;SEDAP - 32.0001;13.758.821/0001-33 - SUPREMA SEMENTES LTDA;SEMENTES, MUDAS E PLANTAS;695.000,00;7.452 CONTRATOS;14.786.237.936,49
0055/2023;32.901.900044.2023;28/12/2023;28/06/2024;6;SEDAP - 32.0001;11.129.899/0001-63 - JOÃO BERCHMANS V. MARTINS FILHO;SEMENTES, MUDAS E PLANTAS;560.000,00;7.452 CONTRATOS;14.786.237.936,49
0056/2023;32.901.900044.2023;28/12/2023;28/06/2024;6;SEDAP - 32.0001;04.207.672/0007-19 - SANTANA AGROINDUSTRIAL LTDA;SEMENTES, MUDAS E PLANTAS;2.289.500,00;7.452 CONTRATOS;14.786.237.936,49
0057/2023;32.901.900044.2023;28/12/2023;28/06/2024;6;SEDAP - 32.0001;09.141.358/0003-70 - SEMENTES AGROPECUARIA DE OURO LTDA;SEMENTES, MUDAS E PLANTAS;3.870.700,00;7.452 CONTRATOS;14.786.237.936,49
0127/2023;31.202.000955.2021;28/12/2023;21/01/2025;13;SUPLAN - 31.0201;04.297.655/0001-24 - VIRTUAL ENGENHARIA LTDA;OBRAS;5.317.629,65;7.452 CONTRATOS;14.786.237.936,49
0145/2023;26.201.041851.2023;29/12/2023;28/06/2024;6;DETRAN - 26.0101;40.938.508/0001-50 - MAQ-LAREM MAQUINAS MOVEIS E EQUIPAMENTOS LTDA,;OUTROS SERVIÇOS ESPECIALIZADOS;409.800,00;7.452 CONTRATOS;14.786.237.936,49
0151/2023;26.201.020127.2023;29/12/2023;28/12/2024;12;DETRAN - 26.0101;10.207.478/0001-40 - ICLÍNICA MÉDICA IDEÃO LTDA- ME;OUTROS SERVIÇOS ESPECIALIZADOS;2.766,60;7.452 CONTRATOS;14.786.237.936,49
